2020-04-23 07:35:44 status installed debianutils:arm64 4.9.1
2020-04-23 07:35:44 configure mawk:arm64 1.3.4.20200120-2 <none>
2020-04-23 07:35:44 status unpacked mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:44 status half-configured mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:44 status installed mawk:arm64 1.3.4.20200120-2
2020-04-23 07:35:44 configure libdebconfclient0:arm64 0.251ubuntu1 <none>
2020-04-23 07:35:44 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2020-04-23 07:35:44 status half-configured libdebconfclient0:arm64 0.251ubuntu1
2020-04-23 07:35:44 status installed libdebconfclient0:arm64 0.251ubuntu1
2020-04-23 07:35:44 configure base-files:arm64 11ubuntu5 <none>
2020-04-23 07:35:44 status unpacked base-files:arm64 11ubuntu5
2020-04-23 07:35:44 status half-configured base-files:arm64 11ubuntu5
2020-04-23 07:35:44 status installed base-files:arm64 11ubuntu5
2020-04-23 07:35:44 configure libbz2-1.0:arm64 1.0.8-2 <none>
2020-04-23 07:35:44 status unpacked libbz2-1.0:arm64 1.0.8-2
2020-04-23 07:35:44 status half-configured libbz2-1.0:arm64 1.0.8-2
2020-04-23 07:35:44 status installed libbz2-1.0:arm64 1.0.8-2
2020-04-23 07:35:44 configure base-passwd:arm64 3.5.47 <none>
2020-04-23 07:35:44 status unpacked base-passwd:arm64 3.5.47
2020-04-23 07:35:44 status half-configured base-passwd:arm64 3.5.47
2020-04-23 07:35:44 status installed base-passwd:arm64 3.5.47
2020-04-23 07:35:44 configure libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2 <none>
2020-04-23 07:35:44 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 07:35:44 status half-configured libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 07:35:44 status installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-04-23 07:35:44 configure libblkid1:arm64 2.34-0.1ubuntu9 <none>
